ds,y,DEWP,HUMI,PRES,TEMP,cbwd,Iws
2015/1/1 0:00,0.021148036,0.279411765,0.275510204,0.781818182,0.213114754,1,0.000751944
2015/1/1 1:00,0.008056395,0.264705882,0.214285714,0.781818182,0.245901639,0,0.007639067
2015/1/1 2:00,0.008056395,0.279411765,0.255102041,0.781818182,0.229508197,0,0.0145091
2015/1/1 3:00,0.012084592,0.279411765,0.275510204,0.8,0.213114754,0,0.021379134
2015/1/1 4:00,0.009063444,0.279411765,0.255102041,0.781818182,0.229508197,0,0.028249167
2015/1/1 5:00,0.005035247,0.264705882,0.214285714,0.781818182,0.245901639,0,0.040468256
2015/1/1 6:00,0.007049345,0.25,0.204081633,0.781818182,0.229508197,0,0.043527301
2015/1/1 7:00,0.01611279,0.264705882,0.244897959,0.8,0.213114754,1,0.002290011
2015/1/1 8:00,0.010070493,0.264705882,0.275510204,0.8,0.196721311,0.333333333,0.000751944
2015/1/1 9:00,0.032225579,0.264705882,0.224489796,0.8,0.229508197,0.666666667,0.002290011
2015/1/1 10:00,0.036253776,0.264705882,0.193877551,0.8,0.262295082,0.666666667,0.007639067
2015/1/1 11:00,0.039274924,0.264705882,0.173469388,0.781818182,0.278688525,0.333333333,0.002290011
2015/1/1 12:00,0.062437059,0.264705882,0.153061224,0.745454545,0.31147541,0.333333333,0.005349056
2015/1/1 13:00,0.06143001,0.264705882,0.142857143,0.709090909,0.327868852,1,0.004580022
2015/1/1 14:00,0.043303122,0.25,0.112244898,0.690909091,0.344262295,1,0.009929078
2015/1/1 15:00,0.047331319,0.25,0.112244898,0.672727273,0.344262295,1,0.015278134
2015/1/1 16:00,0.050352467,0.235294118,0.102040816,0.654545455,0.344262295,1,0.022148167
2015/1/1 17:00,0.081570997,0.25,0.12244898,0.654545455,0.327868852,1,0.027497223
2015/1/1 18:00,0.086606244,0.279411765,0.183673469,0.636363636,0.295081967,1,0.032846279
2015/1/1 19:00,0.105740181,0.308823529,0.234693878,0.636363636,0.278688525,0.333333333,0.000751944
2015/1/1 20:00,0.12286002,0.308823529,0.326530612,0.636363636,0.213114754,0.666666667,0.002290011
2015/1/1 21:00,0.135951662,0.308823529,0.387755102,0.636363636,0.180327869,0.666666667,0.003810989
2015/1/1 22:00,0.13897281,0.323529412,0.367346939,0.636363636,0.213114754,0,0.002290011
2015/1/1 23:00,0.15407855,0.338235294,0.469387755,0.654545455,0.180327869,0.666666667,0.002290011
2015/1/2 0:00,0.125881168,0.323529412,0.306122449,0.654545455,0.245901639,0,0.002290011
2015/1/2 1:00,0.097683787,0.308823529,0.306122449,0.672727273,0.229508197,0,0.007639067
2015/1/2 2:00,0.065458207,0.323529412,0.336734694,0.672727273,0.229508197,0,0.016047167
2015/1/2 3:00,0.044310171,0.323529412,0.265306122,0.690909091,0.278688525,0.666666667,0.007639067
2015/1/2 4:00,0.027190332,0.323529412,0.285714286,0.709090909,0.262295082,0.666666667,0.0145091
2015/1/2 5:00,0.011077543,0.323529412,0.285714286,0.709090909,0.262295082,0.666666667,0.019858156
2015/1/2 6:00,0.011077543,0.323529412,0.336734694,0.727272727,0.229508197,0.333333333,0.000751944
2015/1/2 7:00,0.01510574,0.338235294,0.428571429,0.727272727,0.196721311,0.666666667,0.002290011
2015/1/2 8:00,0.012084592,0.338235294,0.397959184,0.745454545,0.213114754,0,0.004580022
2015/1/2 9:00,0.023162135,0.367647059,0.316326531,0.763636364,0.295081967,0.333333333,0.000751944
2015/1/2 10:00,0.033232628,0.323529412,0.224489796,0.763636364,0.31147541,0.666666667,0.004580022
2015/1/2 11:00,0.012084592,0.323529412,0.193877551,0.745454545,0.344262295,0.666666667,0.009929078
2015/1/2 12:00,0.018126888,0.308823529,0.163265306,0.727272727,0.360655738,0.666666667,0.016799111
2015/1/2 13:00,0.025176234,0.323529412,0.153061224,0.709090909,0.393442623,0.666666667,0.019858156
2015/1/2 14:00,0.025176234,0.308823529,0.132653061,0.690909091,0.393442623,1,0.002290011
2015/1/2 15:00,0.040281974,0.308823529,0.132653061,0.690909091,0.393442623,1,0.007639067
2015/1/2 16:00,0.084592145,0.323529412,0.163265306,0.672727273,0.37704918,1,0.012988123
2015/1/2 17:00,0.10775428,0.323529412,0.173469388,0.672727273,0.360655738,1,0.019858156
2015/1/2 18:00,0.086606244,0.338235294,0.193877551,0.672727273,0.360655738,0.333333333,0.006101
2015/1/2 19:00,0.101711984,0.323529412,0.204081633,0.672727273,0.327868852,1,0.002290011
2015/1/2 20:00,0.116817724,0.338235294,0.224489796,0.654545455,0.327868852,1,0.007639067
2015/1/2 21:00,0.124874119,0.352941176,0.316326531,0.654545455,0.278688525,1,0.010698112
2015/1/2 22:00,0.145015106,0.367647059,0.37755102,0.636363636,0.262295082,1,0.012219089
2015/1/2 23:00,0.157099698,0.367647059,0.408163265,0.618181818,0.245901639,0.333333333,0.000751944
