unique_id,ds,y
BJ,2010-01-01 00:00:00,0.128902316
BJ,2010-01-01 01:00:00,0.128902316
BJ,2010-01-01 02:00:00,0.128902316
BJ,2010-01-01 03:00:00,0.128902316
BJ,2010-01-01 04:00:00,0.128902316
BJ,2010-01-01 05:00:00,0.128902316
BJ,2010-01-01 06:00:00,0.128902316
BJ,2010-01-01 07:00:00,0.128902316
BJ,2010-01-01 08:00:00,0.128902316
BJ,2010-01-01 09:00:00,0.128902316
BJ,2010-01-01 10:00:00,0.128902316
BJ,2010-01-01 11:00:00,0.128902316
BJ,2010-01-01 12:00:00,0.128902316
BJ,2010-01-01 13:00:00,0.128902316
BJ,2010-01-01 14:00:00,0.128902316
BJ,2010-01-01 15:00:00,0.128902316
BJ,2010-01-01 16:00:00,0.128902316
BJ,2010-01-01 17:00:00,0.128902316
BJ,2010-01-01 18:00:00,0.128902316
BJ,2010-01-01 19:00:00,0.128902316
BJ,2010-01-01 20:00:00,0.128902316
BJ,2010-01-01 21:00:00,0.128902316
BJ,2010-01-01 22:00:00,0.128902316
BJ,2010-01-01 23:00:00,0.128902316
BJ,2010-01-02 00:00:00,0.148036254
BJ,2010-01-02 01:00:00,0.159113797
BJ,2010-01-02 02:00:00,0.181268882
BJ,2010-01-02 03:00:00,0.13796576
BJ,2010-01-02 04:00:00,0.108761329
BJ,2010-01-02 05:00:00,0.104733132
BJ,2010-01-02 06:00:00,0.123867069
BJ,2010-01-02 07:00:00,0.119838872
BJ,2010-01-02 08:00:00,0.131923464
BJ,2010-01-02 09:00:00,0.139979859
BJ,2010-01-02 10:00:00,0.152064451
BJ,2010-01-02 11:00:00,0.148036254
BJ,2010-01-02 12:00:00,0.164149043
BJ,2010-01-02 13:00:00,0.158106747
BJ,2010-01-02 14:00:00,0.15407855
BJ,2010-01-02 15:00:00,0.159113797
BJ,2010-01-02 16:00:00,0.164149043
BJ,2010-01-02 17:00:00,0.170191339
BJ,2010-01-02 18:00:00,0.149043303
BJ,2010-01-02 19:00:00,0.15407855
BJ,2010-01-02 20:00:00,0.164149043
BJ,2010-01-02 21:00:00,0.156092649
BJ,2010-01-02 22:00:00,0.125881168
BJ,2010-01-02 23:00:00,0.089627392
BJ,2010-01-03 00:00:00,0.062437059
BJ,2010-01-03 01:00:00,0.064451158
BJ,2010-01-03 02:00:00,0.054380665
BJ,2010-01-03 03:00:00,0.064451158
BJ,2010-01-03 04:00:00,0.082578046
BJ,2010-01-03 05:00:00,0.090634441
BJ,2010-01-03 06:00:00,0.085599194
BJ,2010-01-03 07:00:00,0.081570997
BJ,2010-01-03 08:00:00,0.085599194
BJ,2010-01-03 09:00:00,0.0775428
BJ,2010-01-03 10:00:00,0.097683787
BJ,2010-01-03 11:00:00,0.106747231
BJ,2010-01-03 12:00:00,0.089627392
BJ,2010-01-03 13:00:00,0.095669688
BJ,2010-01-03 14:00:00,0.094662638
BJ,2010-01-03 15:00:00,0.085599194
BJ,2010-01-03 16:00:00,0.069486405
BJ,2010-01-03 17:00:00,0.060422961
BJ,2010-01-03 18:00:00,0.052366566
BJ,2010-01-03 19:00:00,0.070493454
BJ,2010-01-03 20:00:00,0.071500504
BJ,2010-01-03 21:00:00,0.075528701
BJ,2010-01-03 22:00:00,0.072507553
BJ,2010-01-03 23:00:00,0.078549849
BJ,2010-01-04 00:00:00,0.057401813
BJ,2010-01-04 01:00:00,0.024169184
BJ,2010-01-04 02:00:00,0.025176234
BJ,2010-01-04 03:00:00,0.027190332
BJ,2010-01-04 04:00:00,0.025176234
BJ,2010-01-04 05:00:00,0.019133938
BJ,2010-01-04 06:00:00,0.028197382
BJ,2010-01-04 07:00:00,0.025176234
BJ,2010-01-04 08:00:00,0.026183283
BJ,2010-01-04 09:00:00,0.026183283
BJ,2010-01-04 10:00:00,0.024169184
