unique_id,ds,Exogenous1,Exogenous2,Exogenous3,Exogenous4,Exogenous5,Exogenous6,week_day,day_0,day_1,day_2,day_3,day_4,day_5,day_6
BJ,2010-01-01 00:00:00,0.279411765,0.418367347,0.545454545,0.131147541,0.0,0.002290011,4,False,False,False,False,True,False,False
BJ,2010-01-01 01:00:00,0.279411765,0.459183673,0.527272727,0.114754098,0.0,0.007639067,4,False,False,False,False,True,False,False
BJ,2010-01-01 02:00:00,0.279411765,0.418367347,0.509090909,0.131147541,0.0,0.010698112,4,False,False,False,False,True,False,False
BJ,2010-01-01 03:00:00,0.279411765,0.540816327,0.509090909,0.081967213,0.0,0.016047167,4,False,False,False,False,True,False,False
BJ,2010-01-01 04:00:00,0.294117647,0.5,0.490909091,0.114754098,0.0,0.021396223,4,False,False,False,False,True,False,False
BJ,2010-01-01 05:00:00,0.308823529,0.459183673,0.472727273,0.147540984,0.0,0.026745279,4,False,False,False,False,True,False,False
BJ,2010-01-01 06:00:00,0.308823529,0.428571429,0.472727273,0.163934426,0.0,0.032094335,4,False,False,False,False,True,False,False
BJ,2010-01-01 07:00:00,0.308823529,0.428571429,0.472727273,0.163934426,0.0,0.035153379,4,False,False,False,False,True,False,False
BJ,2010-01-01 08:00:00,0.308823529,0.428571429,0.472727273,0.163934426,0.0,0.040502435,4,False,False,False,False,True,False,False
BJ,2010-01-01 09:00:00,0.294117647,0.357142857,0.472727273,0.180327869,0.0,0.045851491,4,False,False,False,False,True,False,False
BJ,2010-01-01 10:00:00,0.308823529,0.357142857,0.472727273,0.196721311,0.0,0.052721524,4,False,False,False,False,True,False,False
BJ,2010-01-01 11:00:00,0.323529412,0.336734694,0.472727273,0.229508197,0.0,0.05807058,4,False,False,False,False,True,False,False
BJ,2010-01-01 12:00:00,0.308823529,0.306122449,0.436363636,0.229508197,0.0,0.063419636,4,False,False,False,False,True,False,False
BJ,2010-01-01 13:00:00,0.323529412,0.285714286,0.436363636,0.262295082,0.0,0.068768692,4,False,False,False,False,True,False,False
BJ,2010-01-01 14:00:00,0.323529412,0.265306122,0.418181818,0.278688525,0.0,0.074117748,4,False,False,False,False,True,False,False
BJ,2010-01-01 15:00:00,0.323529412,0.244897959,0.418181818,0.295081967,0.333333333,0.000751944,4,False,False,False,False,True,False,False
BJ,2010-01-01 16:00:00,0.308823529,0.234693878,0.436363636,0.278688525,0.0,0.002290011,4,False,False,False,False,True,False,False
BJ,2010-01-01 17:00:00,0.323529412,0.285714286,0.436363636,0.262295082,0.0,0.003810989,4,False,False,False,False,True,False,False
BJ,2010-01-01 18:00:00,0.323529412,0.336734694,0.454545455,0.229508197,0.666666667,0.002290011,4,False,False,False,False,True,False,False
BJ,2010-01-01 19:00:00,0.338235294,0.336734694,0.472727273,0.245901639,0.0,0.002290011,4,False,False,False,False,True,False,False
BJ,2010-01-01 20:00:00,0.338235294,0.367346939,0.472727273,0.229508197,0.333333333,0.000751944,4,False,False,False,False,True,False,False
BJ,2010-01-01 21:00:00,0.338235294,0.367346939,0.490909091,0.229508197,0.0,0.002290011,4,False,False,False,False,True,False,False
BJ,2010-01-01 22:00:00,0.338235294,0.367346939,0.490909091,0.229508197,0.0,0.003810989,4,False,False,False,False,True,False,False
BJ,2010-01-01 23:00:00,0.338235294,0.397959184,0.527272727,0.229508197,0.333333333,0.000751944,4,False,False,False,False,True,False,False
BJ,2010-01-02 00:00:00,0.352941176,0.367346939,0.527272727,0.245901639,1.0,0.002290011,5,False,False,False,False,False,True,False
BJ,2010-01-02 01:00:00,0.367647059,0.408163265,0.527272727,0.245901639,1.0,0.003810989,5,False,False,False,False,False,True,False
BJ,2010-01-02 02:00:00,0.426470588,0.62755102,0.545454545,0.229508197,1.0,0.005331966,5,False,False,False,False,False,True,False
BJ,2010-01-02 03:00:00,0.485294118,0.846938776,0.563636364,0.229508197,1.0,0.008391011,5,False,False,False,False,False,True,False
BJ,2010-01-02 04:00:00,0.485294118,0.846938776,0.563636364,0.229508197,1.0,0.009911988,5,False,False,False,False,False,True,False
BJ,2010-01-02 05:00:00,0.485294118,0.918367347,0.563636364,0.213114754,1.0,0.011432966,5,False,False,False,False,False,True,False
BJ,2010-01-02 06:00:00,0.485294118,0.918367347,0.581818182,0.213114754,1.0,0.014492011,5,False,False,False,False,False,True,False
BJ,2010-01-02 07:00:00,0.485294118,0.846938776,0.6,0.229508197,1.0,0.017551055,5,False,False,False,False,False,True,False
BJ,2010-01-02 08:00:00,0.470588235,0.846938776,0.6,0.213114754,1.0,0.0206101,5,False,False,False,False,False,True,False
BJ,2010-01-02 09:00:00,0.485294118,0.846938776,0.618181818,0.229508197,1.0,0.023669145,5,False,False,False,False,False,True,False
BJ,2010-01-02 10:00:00,0.485294118,0.846938776,0.636363636,0.229508197,1.0,0.0290182,5,False,False,False,False,False,True,False
BJ,2010-01-02 11:00:00,0.470588235,0.785714286,0.636363636,0.229508197,1.0,0.034367256,5,False,False,False,False,False,True,False
BJ,2010-01-02 12:00:00,0.470588235,0.785714286,0.636363636,0.229508197,1.0,0.039716312,5,False,False,False,False,False,True,False
BJ,2010-01-02 13:00:00,0.470588235,0.785714286,0.618181818,0.229508197,1.0,0.046586345,5,False,False,False,False,False,True,False
BJ,2010-01-02 14:00:00,0.455882353,0.724489796,0.618181818,0.229508197,1.0,0.053456379,5,False,False,False,False,False,True,False
BJ,2010-01-02 15:00:00,0.455882353,0.724489796,0.618181818,0.229508197,1.0,0.060326412,5,False,False,False,False,False,True,False
BJ,2010-01-02 16:00:00,0.455882353,0.724489796,0.636363636,0.229508197,1.0,0.063385457,5,False,False,False,False,False,True,False
BJ,2010-01-02 17:00:00,0.470588235,0.785714286,0.654545455,0.229508197,1.0,0.066444501,5,False,False,False,False,False,True,False
BJ,2010-01-02 18:00:00,0.470588235,0.785714286,0.654545455,0.229508197,1.0,0.071793557,5,False,False,False,False,False,True,False
BJ,2010-01-02 19:00:00,0.470588235,0.785714286,0.672727273,0.229508197,1.0,0.074852602,5,False,False,False,False,False,True,False
BJ,2010-01-02 20:00:00,0.485294118,0.846938776,0.672727273,0.229508197,1.0,0.077911647,5,False,False,False,False,False,True,False
BJ,2010-01-02 21:00:00,0.485294118,0.846938776,0.654545455,0.229508197,1.0,0.083260702,5,False,False,False,False,False,True,False
